latitude,longitude,elevation_m,slope_deg,aspect_deg,topographic_wetness_index,terrain_ruggedness_index,annual_rainfall_mm,annual_temperature_c,summer_temperature_c,winter_temperature_c,solar_radiation_mj,potential_evapotranspiration_mm,relative_humidity_pct,frost_days_per_year,drought_index,clay_pct,sand_pct,silt_pct,bulk_density,soil_depth_cm,coarse_fragment_pct,available_water_capacity_mm,soil_ph,organic_nitrogen_pct,available_phosphorus_mgkg,exchangeable_potassium_mgkg,cation_exchange_capacity,ndvi_mean,evi_mean,ndwi_mean,soil_moisture_pct,soil_quality_index,climate_stress_index,erosion_risk_index,soil_organic_carbon_target,36
-42.13097845,171.1172618,97.31582515,15.66039445,335.4736,7.508100431,7.365607503,807.5820108,9.679469125,17.23594772,4.557528196,16.63810632,725.9102685,75.28202082,36,0.28678939,37.75781548,62.55590907,0,1.228013469,81.20447524,0.701566321,157.9758957,6.086129859,0.460999197,19.5322378,193.2791666,15.35631115,0.475329954,0.357309731,0.231944993,35.17102209,78.9040396,28.19242144,31.84980305,58.44148326,
-34.64071402,172.1546636,148.8010243,7.974421073,38.84985104,7.326738725,5.683267271,1179.45844,17.43503094,23.72620796,12.55956624,13.38324815,705.9975982,62.65141532,17,0.250872225,23.50823698,26.73278034,49.75898267,1.216842882,77.70990098,25.86965584,198.7814028,5.544094353,0.291069269,15.82386789,187.3379321,15.50481498,0.533806498,0.460527019,0.378470302,33.78714702,64.56688242,17.5348961,24.35496416,53.61245179,
-37.48407876,177.1091161,888.8096834,9.953118753,200.974535,11.18095008,2.654729507,943.4429715,13.86397956,20.42463362,9.01593152,11.01043894,1020.826255,76.47046918,20,0.474026871,34.8428246,45.79802557,19.35914983,0.999941149,113.0547315,2.706194077,182.6838099,7.046592192,0.42027392,28.52208969,208.6627917,18.56852042,0.666048179,0.55858645,0.293016588,55.43647077,81.69316221,27.26186734,21.46848842,86.94783274,
-39.21743971,170.420057,394.1316194,6.907954338,34.95954776,5.846627405,4.005192221,1155.294725,12.9873553,18.95069093,9.05793815,13.99550745,839.1005544,69.30181902,20,0.262445614,10.56386632,58.67965181,30.75648186,1.361880116,123.7738107,37.70743243,136.781083,6.936461617,0.415542359,19.35742598,182.077223,14.11313659,0.740966269,0.454608522,0.119562891,24.30921126,72.97892016,15.27878822,30.50846498,55.87945225,
-44.97175767,177.3054459,719.1875227,4.219456969,205.9258109,7.425486873,9.83229116,1286.631423,9.587226408,16.34665143,4.447725592,14.3665008,878.5184051,68.03750293,24,0.363461023,55.39443103,14.38718031,30.21838866,1.090618524,96.02978034,16.58244593,130.5379894,6.117695823,0.29019854,39.0397182,118.1839297,16.35947848,0.558467001,0.428952035,0.140042819,22.2976424,66.42264321,28.49842429,21.43816874,67.77440259,
-44.97207124,167.1457476,723.9871617,11.32448148,293.3930107,8.81533487,6.895457954,1243.160269,19.16905788,25.20456712,13.89853785,19.67115112,881.4085448,88.1030885,24,0.281792558,50.42514336,44.11316038,5.461696259,1.055037249,69.52661625,7.413457266,174.8369727,6.466414147,0.414726238,39.86529753,244.9753991,19.92491034,0.470558108,0.392163268,0.099121888,37.34440981,75.94489347,9.126194192,19.59946665,64.72292269,
-46.24491304,176.0983797,351.8950981,13.52826994,193.6044584,7.06163627,4.537797028,965.8281564,9.808699899,16.23598087,5.471069266,22.0637791,948.7542359,86.26925848,24,0.532040786,11.24843057,68.58686703,20.16470239,1.398900429,76.14490477,8.090840557,126.9584473,7.34273239,0.389838168,7.758894202,177.1092046,11.94170831,0.276085606,0.250631825,0.398674562,21.52033724,69.22757934,35.89959106,26.05389588,45.1380192,
-35.7397101,177.0181192,617.3038503,43.02215891,313.9393774,8.455087642,2.48106719,695.0181369,12.08783022,17.42342598,6.344089655,16.00810958,1087.845106,77.09027905,22,0.741667009,59.32352692,31.77040143,8.906071648,0.987291705,98.63443064,3.621853058,59.58936596,6.470577897,0.359159901,26.22863232,151.5399788,21.84189269,0.79654148,0.581082864,0.257488318,44.3118232,82.78830151,29.87073331,61.00023438,71.27762295,
-39.18550485,168.3636295,334.1629632,6.443678196,288.6027677,10.49542153,1.200028321,591.8375831,12.20257513,18.43310695,6.715892454,15.28494367,740.5308849,69.08171647,31,0.380483178,56.39907382,53.6963056,0,1.051492454,35.37157303,26.30563449,114.6097798,6.148733042,0.314548357,37.01861555,139.6403263,20.26519975,0.483553099,0.40944515,0.306821606,46.73574413,65.64242476,26.39796428,10.17600327,65.53299196,
-37.79505649,171.5945049,285.8352253,17.45134595,99.55740598,8.753388858,7.430323921,1932.750194,7.912032734,15.27401077,3.026676279,11.6671967,964.4500098,82.25679964,24,0,42.97209487,57.77554617,0,1.209110745,47.59732514,35.14438291,154.0486795,6.794003337,0.117727225,31.87795634,175.6148886,21.56855532,0.59074175,0.398011525,0.301883702,45.91506662,57.81179418,13.22474675,47.51811498,67.24067935,
-46.73240157,168.1514971,231.4826704,7.848643582,226.8368218,7.643290654,7.470109139,1696.923984,13.30888753,19.8766672,7.47997948,10.8108078,896.4337754,84.01199982,28,0,29.70266824,54.60638494,15.69094682,1.233312904,78.61565177,15.23870245,126.7499724,6.319081051,0.263282898,38.51125859,271.5162831,26.64548765,0.605868659,0.464381777,0.020968005,41.50505008,71.00753956,9.420317392,9.759675051,64.07036109,
-34.39117192,175.1858537,586.5745481,18.50235158,2.668365531,10.45260269,4.923671412,1337.617047,12.99546146,19.11201392,8.380304602,18.48521356,946.2101949,74.80781174,33,0.228214927,54.19469945,66.97583568,0,1.49535828,126.5248187,21.2333475,151.1796643,5.6875139,0.298534392,17.68679729,105.1081029,18.36953398,0.616405607,0.542994706,0.355806529,27.26103815,66.14441909,19.0944396,48.13272916,60.92162302,
